62112,vikar i dansk,2018-03-08,dansk,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
62114,herning gymnasium søger dygtige og engagerede undervisere til motiverede og ambitiøse elever,          ,,fast stilling,         ,    ,       ,         	
62115,herning gymnasium søger dygtige og engagerede undervisere til motiverede og ambitiøse elever,2018-03-09,,fast stilling,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland	
62119,ledige stillinger på virum gymnasium,2018-03-13,,fast stilling,Fuglsangvej 66,2830,Virum,Region Hovedstaden	
62120,københavns private gymnasium søger undervisere i engelsk og kemi,          ,engelsk-kemi,fast stilling,         ,    ,       ,         	
62121,københavns private gymnasium søger undervisere i engelsk og kemi,2018-03-16,engelsk-kemi,fast stilling,Præstøgade 17,2100,København &#21,Region Hovedstaden	
62124,fredericia gymnasium søger ny uddannelsesleder,2018-03-18,,fast stilling,Nørrebrogade 88,7000,Fredericia,Region Syddanmark	
62126,brænder du for fransk,2018-03-20,fransk,fast stilling,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden	
62129,allerød gymnasium søger lærere!,2018-03-20,,fast stilling,Rådhusvej 6,3450,Allerød,Region Hovedstaden	
62130,hf lærere,2018-03-20,,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
62132,underviser til matematik på hf,2018-03-20,matematik,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland	
62133,- nyborg gymnasium søger underviser(e) til skolens stærke hhx-uddannelse,2018-03-20,,fast stilling,Skolebakken 13,5800,Nyborg,Region Syddanmark	
62134,alssundgymnasiet søger pædagogikumkandidater,2018-03-21,,fast stilling,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark	
62140,leder af studieadministration - hf & vuc fyn,2018-03-22,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
62141,ledige stillinger på sct. knuds gymnasium,2018-03-22,,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark	
62145,ledige stillinger ved stenhus gymnasium,2018-03-23,,fast stilling,Stenhusvej 20,4300,Holbæk,Region Sjælland	
62146,sygevikariat i musik,2018-03-23,musik,vikariat,Østre Hougvej 97,5500,Middelfart,Region Syddanmark	
62149,stilling som lærer på tørring gymnasium,2018-03-24,,fast stilling,Kirkevej 20,7160,Tørring,Region Midtjylland	
62150,- udkast til stillingsopslag,          ,,fast stilling,         ,    ,       ,         	
62151,sankt annæ gymnasium - en skole med musik i,2018-03-28,musik,fast stilling,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden	
62153,1-2 faste stilinger på fredericia gymnasium,2018-03-30,,fast stilling,Nørrebrogade 88,7000,Fredericia,Region Syddanmark	
62154,stilling i biologi og matematik,2018-04-02,biologi-matematik,fast stilling,Brøndby Stadion 28A,2605,Brøndby,Region Hovedstaden	
62157,adjunkt/lektor,2018-04-03,,fast stilling,Puggårdsgade 22,6760,Ribe,Region Syddanmark	
62159,en fast stilling og et årsvikariat i matematik ved vestfyns gymnasium,2018-04-03,matematik,vikariat,Langbygårdsvej 4,5620,Glamsbjerg,Region Syddanmark	
62164,vikar,          ,,vikariat,         ,    ,       ,         	
62165,to faste stillinger på slagelse gymnasium,          ,,fast stilling,         ,    ,       ,         	
62166,m - faste stillinger,          ,,fast stilling,         ,    ,       ,         	
62167,to faste stillinger på slagelse gymnasium,2018-04-04,,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62170,køge gymnasium søger engagerede lærere i fysik kemi og matematik,2018-04-04,fysik-kemi-matematik,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland	
62171,ervisning og kvalitet - enhedsleder til udvikling og drift af prøverne på ungdoms- og voksenuddannelserne,2018-04-05,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
62172,faste stillinger på frederiksberg gymnasium,2018-04-05,,fast stilling,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden	
62173,et antal stillinger i geografi biologi matematik informatik på frederiksborg gymnasium og hf,2018-04-05,biologi-geografi-informatik-matematik,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
62175,gux-sisimiut søger gymnasielærere,2018-04-05,,fast stilling,Postboks 1001,3911,Sisimiut,	
62176,8-9 faste stillinger og vikariater på aabenraa statsskole,2018-04-06,,vikariat,Forst Allé 14,6200,Aabenraa,Region Syddanmark	
"62177,lærere til privat kristent gymnasium i københavn (genopslag),2018-04-06,,fast stilling,""Jydeholmen 15, 2. sal"",2720,Vanløse,Region Hovedstaden"	
62179,uddannelsesleder på roskilde katedralskole,2018-04-18,,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland	
62183,rysensteen gymnasium tilbyder 2 stillinger som gymnasielærer samt barselsvikariater,2018-04-10,,vikariat,Tietgensgade 74,1704,København V,Region Hovedstaden	
62185,faste stillinger på marselisborg gymnasium,2018-04-10,,fast stilling,Birketinget 9,8000,Aarhus C,Region Midtjylland	
62187,esbjerg gymnasium søger undervisere i matematik spansk og religion,2018-04-11,matematik-religion-spansk,fast stilling,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark	
62188,roskilde gymnasium søger lærere med stærk faglig og didaktisk profil,2018-04-11,,fast stilling,Domkirkepladsen,4000,Roskilde,Region Sjælland	
62189,støvring gymnasium søger lærere,2018-04-11,,fast stilling,Mastrupvej 77,9530,Støvring,Region Nordjylland	
62190,sionær koordinerende og netværksskabende veu-chef søges til hf & vuc fyn,          ,,fast stilling,         ,    ,       ,         	
62193,underviser ved vuc & hf nordjylland aalborg,2018-04-12,,fast stilling,På sporet 8B,9000,Aalborg,Region Nordjylland	
62194,årsvikar i matematik og kemi på hf-niveau ved vuc & hf nordjylland himmerland afd.,2018-04-12,kemi-matematik,vikariat,På sporet 8B,9000,Aalborg,Region Nordjylland	
62195,øregård gymnasium søger 1-2 årsvikarer,2018-04-12,,vikariat,Gersonsvej 32,2900,Hellerup,Region Hovedstaden	
62198,himmelev gymnasium i roskilde søger nye lærere i matematik og tysk,2018-04-12,matematik-tysk,fast stilling,Herregårdsvej 30,4000,Roskilde,Region Sjælland	
62199,odense katedralskole søger underviser til fast stilling samt en række årsvikarer,2018-04-12,,vikariat,Jernbanegade 34,5100,Odense C,Region Syddanmark	
62200,rosborg gymnasium & hf søger lærere og studievejleder,2018-04-13,,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
62201,rosborg gymnasium & hf søger 3 pædagogiske faglige koordinatorer,2018-04-13,,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
62202,rosborg gymnasium & hf søger en uddannelsesleder,2018-05-03,,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
62204,3-4 faste stillinger og 2-3 årsvikariater,2018-04-13,,vikariat,Højvangens Torv 6,8660,Skanderborg,Region Midtjylland	
62205,køge gymnasium søger gymnasielærere,2018-04-13,,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland	
62207,campus bornholm søger undervisere til de gymnasiale uddannelser,2018-04-14,,fast stilling,Minervavej 2,3700,Rønne,Region Hovedstaden	
62208,greve gymnasium søger lærere til august 2018,2018-04-16,,fast stilling,Rådhusholmen 12,2670,Greve,Region Sjælland	
62210,m - rektor til hasseris gymnasium,2018-04-16,,fast stilling,Hasserisvej 300,9000,Aalborg,Region Nordjylland	
62211,lærere søges til paderup gymnasium,2018-04-16,,fast stilling,Apollovej 64,8960,Randers SØ,Region Midtjylland	
62212,lærer i samfundsfag og historie,2018-04-16,historie-samfundsfag,fast stilling,Tranekærvej 70,8240,Risskov,Region Midtjylland	
62213,adjunkt/lektor,2018-04-20,,fast stilling,Puggårdsgade 22,6760,Ribe,Region Syddanmark	
62215,ledige stillinger på gribskov gymnasium,2018-04-18,,fast stilling,Østergade 52,3200,Helsinge,Region Hovedstaden	
62217,ledige vikariater,2018-04-19,,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden	
62218,fast stilling i oldtidskundskab,2018-04-19,oldtidskundskab,fast stilling,Prinsessegade 35,1422,København K,Region Hovedstaden	
62221,stilling i matematik & fysik,2018-04-19,fysik-matematik,fast stilling,Kr. Herskindsvej 6,8410,Rønde,Region Midtjylland	
62222,vikariat,2018-04-19,,vikariat,Studievej 14,9400,Nørresundby,Region Nordjylland	
62223,hf og vuc - hf-undervisere til nordvestsjællands hf og vuc,          ,,fast stilling,         ,    ,       ,         	
62224,hf-undervisere til nordvestsjællands hf og vuc,2018-04-19,,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland	
62227,ledige stillinger på gladsaxe gymnasium,2018-04-20,,fast stilling,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden	
62228,stilling i kemi ved nakskov gymnasium og hf,2018-04-20,kemi,fast stilling,Søvej 6,4900,Nakskov,Region Sjælland	
62236,genopslag: fagkonsulenter til de gymnasiale uddannelser,2018-04-24,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
62239,øregård gymnasium har 1-2 ledige stillinger i de naturvidenskabelige fag,2018-04-25,,fast stilling,Gersonsvej 32,2900,Hellerup,Region Hovedstaden	
62241,stillinger ved middelfart gymnasium og hf,2018-04-24,,fast stilling,Østre Hougvej 97,5500,Middelfart,Region Syddanmark	
62244,årsvikariater ved nærum gymnasium,2018-04-25,,vikariat,Nærum Hovedgade 30,2850,Nærum,Region Hovedstaden	
62247,ledige årsvikariater på risskov gymnasium,2018-04-26,,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
62248,brønderslev gymnasium og hf søger årsvikarer,2018-04-26,,vikariat,Islands Allé 20,9700,Brønderslev,Region Nordjylland	
62249,1-2 stillinger og timerester,2018-04-26,,fast stilling,Studievej 14,9400,Nørresundby,Region Nordjylland	
62254,gymnasielærere til vuf,2018-04-26,,fast stilling,Falstersvej 3-5,2000,Frederiksberg,Region Hovedstaden	
62255,fast underviserstilling i matematik kombineret med andet gymnasiefag,2018-04-27,matematik,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland	
62256,m - fast stilling i tysk,2018-04-30,tysk,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62257,gymnasielærere 2018/19,2018-04-30,,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland	
62264,underviser,2018-05-01,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
62265,middelfart gymnasium og hf søger en uddannelsesleder,2018-05-01,,fast stilling,Østre Hougvej 97,5500,Middelfart,Region Syddanmark	
62266,vil du være vores nye uddannelsesleder fra 1. august 2018?,2018-05-01,,fast stilling,Rådhusvej 6,3450,Allerød,Region Hovedstaden	
62267,faste stillinger og årsvikariater ved mariagerfjord gymnasium,2018-05-02,,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland	
62269,årsvikar engelsk og dansk,2018-05-02,dansk-engelsk,vikariat,Vejlefjordskolen 15,8721,Daugård,Region Midtjylland	
62271,fast stilling med matematik og kemi ved sct. knuds gymnasium,2018-05-03,kemi-matematik,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark	
62273,årsvikariater fjerritslev gymnasium,2018-05-04,,vikariat,Skovbrynet 9,9690,Fjerritslev,Region Nordjylland	
62276,stilling i matematik ved nakskov gymnasium og hf,2018-05-03,matematik,fast stilling,Søvej 6,4900,Nakskov,Region Sjælland	
62277,årsvikariater i dansk og engelsk,2018-05-03,dansk-engelsk,vikariat,N.P. Josiassensvej 21,8500,Grenaa,Region Midtjylland	
62278,roskilde gymnasium søger fransklærer,2018-05-03,fransk,fast stilling,Domkirkepladsen,4000,Roskilde,Region Sjælland	
62279,ervisning og kvalitet - styrelsen for undervisning og kvalitet søger gymnasiale læringskonsulenter til implementering af gymnasiereformen og rådgivning af skolerne om kvalitetsudvikling,2018-05-03,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
62280,viborg gymnasium & hf søger en dygtig underviser i spansk og timerester i økonomifag,2018-05-03,spansk,fast stilling,Skaldehøjvej 12,8800,Viborg,Region Midtjylland	
62285,timerester på morsø gymnasium,2018-05-05,,fast stilling,Limfjordsvej 95,7900,Nykøbing M,Region Nordjylland	
62286,svendborg gymnasium søger undervisere pr. 1.8.2018,2018-05-07,,fast stilling,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark	
62287,hf-lærerstillinger på hf & vuc fyn.,2018-05-07,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
62288,fagkonsulent til kommunikation og it på htx,2018-05-07,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
62289,akademisk studenterkursus søger timelærer i dansk,          ,dansk,fast stilling,         ,    ,       ,         	
62291,københavns private gymnasium søger undervisere i dansk og naturgeografi,2018-05-08,dansk-geografi,fast stilling,Præstøgade 17,2100,København &#21,Region Hovedstaden	
62292,matematikvejleder til hf-uddannelsen i herning,2018-05-09,matematik,fast stilling,Brorsonsvej 2,7400,Herning,Region Midtjylland	
62297,merkantil hhx-fag primært virksomhedsøkonomi i kombination med international økonomi afsætning eller andet gymnasiefag,2018-05-09,afsætning-international økonomi-virksomhedsøkonomi,fast stilling,Puggårdsgade 22,6760,Ribe,Region Syddanmark	
62298,vikariat i matematik og fysik,2018-05-09,fysik-matematik,vikariat,Blytækkerporten 2,2650,Hvidovre,Region Hovedstaden	
62299,stilling i idræt ved nakskov gymnasium og hf,2018-05-09,idræt,fast stilling,Søvej 6,4900,Nakskov,Region Sjælland	
62300,- hf/gs afdelingen søger undervisere,2018-05-09,,fast stilling,Dalgas Avenue 2,8000,Aarhus C,Region Midtjylland	
62301,- undervisere til sommerkurserne på gymnasial supplering,2018-05-09,,fast stilling,Dalgas Avenue 2,8000,Aarhus C,Region Midtjylland	
62302,stilling i dansk i kombination med et andet fag på vejen gymnasium og hf,2018-05-09,dansk,fast stilling,Petersmindevej 3,6600,Vejen,Region Syddanmark	
62305,støvring gymnasium søger årsvikarer,2018-05-09,,vikariat,Mastrupvej 77,9530,Støvring,Region Nordjylland	
62306,fast stilling i engelsk og samfundsfag på slagelse gymnasium,2018-05-11,engelsk-samfundsfag,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62307,2- 3 faste stillinger i matematik i kombination med idræt kemi eller fysik på slagelse gymnasium,2018-05-11,fysik-idræt-kemi-matematik,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62309,stilling i matematik ved nordfyns gymnasium,2018-05-14,matematik,fast stilling,Højagervej 25,5471,Søndersø,Region Syddanmark	
62310,årsvikariater på nordfyns gymnasium,2018-05-14,,vikariat,Højagervej 25,5471,Søndersø,Region Syddanmark	
62311,lyngby søger lærer på avu,2018-05-14,,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
62312,vuc syd søger undervisere til vores hf-uddannelser,2018-05-15,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark	
62313,m - slagelse gymnasium søger endnu flere nye lærere,2018-05-15,,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62317,hf & vuc københavn syd søger nye lærere,2018-05-15,,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
62318,rysensteen gymnasium tilbyder 1 stilling i fysik og/eller kemi,2018-05-22,fysik-kemi,fast stilling,Tietgensgade 74,1704,København V,Region Hovedstaden	
62319,gymnasielærer i fysik og matematik,2018-05-16,fysik-matematik,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
62322,årsvikariater i matematik og religion på helsingør gymnasium,2018-05-17,matematik-religion,vikariat,Borgmester P. Christensensvej 3,3000,Helsingør,Region Hovedstaden	
62323,vicerektor,2018-05-18,,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland	
62324,alssundgymnasiet søger underviser/pædagogikumkandidat,2018-05-18,,fast stilling,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark	
62325,fast stilling i spansk kombineret med andet gymnasiefag samt vikariat i fransk på deltid,2018-05-18,fransk-spansk,vikariat,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland	
62329,stilling på det kristne gymnasium,2018-05-22,,fast stilling,Vasevej 28-30,6950,Ringkøbing,Region Midtjylland	
62330,timerest i psykologi på hasseris gymnasium,2018-05-22,psykologi,fast stilling,Hasserisvej 300,9000,Aalborg,Region Nordjylland	
62332,maribo gymnasium søger nye lærere,2018-05-22,,fast stilling,Refshalevej 2,4930,Maribo,Region Sjælland	
62333,nyborg gymnasium søger årsvikar til faget innovation,2018-05-22,innovation,vikariat,Skolebakken 13,5800,Nyborg,Region Syddanmark	
62335,gentofte hf søger vikarer fra august,2018-05-23,,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden	
62336,vikar i matematik og kemi på høje-taastrup gymnasium,2018-05-23,kemi-matematik,vikariat,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden	
62337,rektor,2018-05-23,,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
62339,oure kostgymnasium søger underviser i engelsk og samfundsfag eller historie,2018-05-24,engelsk-historie-samfundsfag,fast stilling,Idrætsvej 1,5883,Oure,Region Syddanmark	
62340,vikar i tysk,2018-05-24,tysk,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
62341,leder af vejledningen på nordvestsjællands hf og vuc,2018-05-24,,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland	
62343,årsvikariat i tysk,2018-05-24,tysk,vikariat,Tietgensgade 74,1704,København V,Region Hovedstaden	
62344,tillinger på århus akademi,          ,,fast stilling,         ,    ,       ,         	
62345,alssundgymnasiet søger underviser i matematik,2018-05-25,matematik,fast stilling,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark	
62347,årsvikariat i historie og engelsk,2018-05-25,engelsk-historie,vikariat,Østergade 52,3200,Helsinge,Region Hovedstaden	
62348,stilling i matematik og fysik samt vikariater i fransk og informatik,2018-05-25,fransk-fysik-informatik-matematik,vikariat,Nørre Voldgade 5,1358,København K,Region Hovedstaden	
62349,vikariat i idræt ved sommer-gsk,2018-05-25,idræt,vikariat,Nørre Voldgade 5,1358,København K,Region Hovedstaden	
62350,gymnasielærer på haderslev katedralskole,2018-05-26,,fast stilling,Christiansfeldvej 31,6100,Haderslev,Region Syddanmark	
62352,stilling i fysik/matematik og timerester i fransk/italiensk,2018-05-28,fransk-fysik-italiensk-matematik,fast stilling,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden	
62357,stilling i matematik og fysik på gefion gymnasium,2018-05-28,fysik-matematik,fast stilling,Øster Voldgade 10,1350,København K,Region Hovedstaden	
62358,stilling i fransk kombineret med andet gymnasiefag,2018-05-28,fransk,fast stilling,Sct. Jørgens Gade 5,9000,Aalborg,Region Nordjylland	
62360,underviser i matematik og fysik,          ,fysik-matematik,fast stilling,         ,    ,       ,         	
62361,lektor/adjunkt matematik og fysik,2018-05-29,fysik-matematik,fast stilling,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden	
62363,årsvikar i biologi,2018-05-29,biologi,vikariat,Gymnasievej 4,4600,Køge,Region Sjælland	
62364,timerester i tysk,2018-05-30,tysk,fast stilling,Præstøgade 17,2100,København &#21,Region Hovedstaden	
62365,roskilde gymnasium søger årsvikar i fysik og astronomi,2018-05-30,astronomi-fysik,vikariat,Domkirkepladsen,4000,Roskilde,Region Sjælland	
62366,ledige stillinger på århus akademi,2018-05-30,,fast stilling,G&#246	teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
62367,timerester i retorik og musik,2018-05-30,musik-retorik,fast stilling,Brorsonsvej 2,7400,Herning,Region Midtjylland	
62369,barselsvikar i oldtidskundskab og latin,2018-05-31,latin-oldtidskundskab,vikariat,Idrætsvej 1,5883,Oure,Region Syddanmark	
62370,latin timelærer,2018-05-31,latin,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden	
62372,to pædagogiske ledere til hf-centret efterslægten pr. 1. august 2018,2018-05-31,,fast stilling,Efterslægtsvej 5,2400,København NV,Region Hovedstaden	
62374,kemi og biologi-lærer søges til gux nuuk,2018-06-04,biologi-kemi,fast stilling,C.E. Jansensvej 11,3900,Nuuk,	
62375,vikariat i tysk fortsætter b & informatik c på midtsjællands gymnasium 2018-19.,2018-06-01,informatik-tysk,vikariat,Skolegade 31,4690,Haslev,Region Sjælland	
62377,årsvikariat tysk,2018-06-01,tysk,vikariat,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden	
62378,ledig stilling i bioteknologi og kemi,2018-06-01,bioteknologi-kemi-teknologi,fast stilling,Østergade 52,3200,Helsinge,Region Hovedstaden	
62379,en række stillinger i flere fag,2018-06-01,,fast stilling,J. Hagemann-Petersens Allé 4,4400,Kalundborg,Region Sjælland	
62381,ledige vikariater på himmelev gymnasium i roskilde,2018-06-01,,vikariat,Herregårdsvej 30,4000,Roskilde,Region Sjælland	
62382,årsvikariat i matematik,2018-06-04,matematik,vikariat,Skolevangen 25,9800,Hjørring,Region Nordjylland	
62384,oldtidskundskab på haderslev katedralskole,2018-06-06,oldtidskundskab,fast stilling,Christiansfeldvej 31,6100,Haderslev,Region Syddanmark	
62385,vikariater i matematik og idræt på himmelev gymnasium i roskilde,2018-06-06,idræt-matematik,vikariat,Herregårdsvej 30,4000,Roskilde,Region Sjælland	
62386,akademisk administrativ medarbejder til aalborg katedralskole,2018-06-06,,fast stilling,Sct. Jørgens Gade 5,9000,Aalborg,Region Nordjylland	
62390,en fast stilling eller årsvikariat i matematik i kombination med fysik eller kemi på slagelse gymnasium,2018-06-06,fysik-kemi-matematik,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62392,pædagogisk faglig koordinator,2018-06-07,,fast stilling,Borgmester P. Christensensvej 3,3000,Helsingør,Region Hovedstaden	
62394,årsvikar i biologi og matematik,2018-06-07,biologi-matematik,vikariat,N.P. Josiassensvej 21,8500,Grenaa,Region Midtjylland	
62397,stilling på deltid (årsvikariat) i samfundsfag og historie ved nakskov gymnasium og hf,2018-06-07,historie-samfundsfag,vikariat,Søvej 6,4900,Nakskov,Region Sjælland	
62398,nyborg gymnasium søger gymnasielærere med fagene psykologi og idræt,2018-06-07,idræt-psykologi,fast stilling,Skolebakken 13,5800,Nyborg,Region Syddanmark	
62399,f uddannelsesleder,2018-06-14,,fast stilling,Vestervej 3,8500,Grenaa,Region Midtjylland	
62401,timerester på skive-viborg hf&vuc,2018-06-11,,fast stilling,Gråbrødre Kirke Str. 5,8800,Viborg,Region Midtjylland	
62402,struer statsgymnasium - årsvikariat i samfundsfag og historie,2018-06-12,historie-samfundsfag,vikariat,Jyllandsgade 2,7600,Struer,Region Midtjylland	
62403,årsvikar i matematik,2018-06-12,matematik,vikariat,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden	
62406,avu lærer til barselsvikariat i matematik,2018-06-13,matematik,vikariat,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
62407,rektor,2018-06-13,,fast stilling,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark	
62408,vikar i fysik,2018-06-13,fysik,vikariat,Holmboes Alle 1C,8700,Horsens,Region Midtjylland	
62413,øregård gymnasium - ledig stilling i samfundsfag og engelsk,2018-06-14,engelsk-samfundsfag,fast stilling,Gersonsvej 32,2900,Hellerup,Region Hovedstaden	
62414,undervisere i musik idræt og engelsk samt grønlandsk,2018-06-25,engelsk-grønlandsk-idræt-musik,fast stilling,C.E. Jansensvej 11,3900,Nuuk,	
62415,underviser til talentfulde elever - gerne matematiker,2018-06-15,matematik,fast stilling,Akademigrunden 18,4180,Sorø,Region Sjælland	
62418,timerester i afsætning/erhvervsøkonomi,2018-06-18,afsætning-erhvervsøkonomi,fast stilling,Vestergade 8,6520,Toftlund,Region Syddanmark	
62419,sygevikariat matematik og kemi,          ,kemi-matematik,vikariat,         ,    ,       ,         	
62420,religion/samfundsfagslærer,2018-06-18,religion-samfundsfag,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
62422,københavns åbne gymnasium søger en dygtig og engageret årsvikar i biologi,2018-06-19,biologi,vikariat,Sjælør Boulevard 133,2500,Valby,Region Hovedstaden	
62423,københavns private gymnasium søger undervisere i matematik og fysik,2018-06-19,fysik-matematik,fast stilling,Præstøgade 17,2100,København &#21,Region Hovedstaden	
62424,årsvikar i biologi,2018-06-19,biologi,vikariat,Møllegade 26,2200,København N,Region Hovedstaden	
62425,undervisere til timerester i kemi engelsk samfundsfag og idræt på hf,          ,engelsk-idræt-kemi-samfundsfag,fast stilling,         ,    ,       ,         	
62426,uddannelseschef på viborg katedralskole,2018-06-20,,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
62427,timerester i psykologi c engelsk b og matematik b og c,2018-06-20,engelsk-matematik-psykologi,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland	
62429,vikariater på christianshavns gymnasium,2018-06-21,,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden	
62433,fast stilling i matematik og fysik på slagelse gymnasium,2018-06-21,fysik-matematik,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
62434,stilling på deltid (årsvikariat) i naturgeografi og biologi ved nakskov gymnasium og hf,2018-06-22,biologi-geografi,vikariat,Søvej 6,4900,Nakskov,Region Sjælland	
62435,1-2 faste stillinger ved sønderborg statsskole,2018-06-22,,fast stilling,Kongevej 37,6400,Sønderborg,Region Syddanmark	
62436,årsvikar i matematik og biologi/kemi på marselisborg gymnasium,2018-06-25,biologi-kemi-matematik,vikariat,Birketinget 9,8000,Aarhus C,Region Midtjylland	
62438,undervisere i matematik idræt og psykologi,2018-06-25,idræt-matematik-psykologi,fast stilling,Hovedgaden 2,4270,Høng,Region Sjælland	
62440,timerester religion og psykologi vuc holstebro-lemvig-struer,2018-06-26,psykologi-religion,fast stilling,Valdemar Poulsensvej 8,7500,Holstebro,Region Midtjylland	
62442,vikariat i engelsk og spansk,2018-06-26,engelsk-spansk,vikariat,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
62443,årsvikariat i kemi og fysik ved stenhus gymnasium,2018-06-28,fysik-kemi,vikariat,Stenhusvej 20,4300,Holbæk,Region Sjælland	
62446,underviser til matematik og fysik,2018-06-30,fysik-matematik,fast stilling,Christianshusvej 16,2970,Hørsholm,Region Hovedstaden	
62448,vikar til matematik og fysik,2018-07-02,fysik-matematik,vikariat,Kolding Åpark 16,6000,Kolding,Region Syddanmark	
62451,timelærer eø,2018-07-02,,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden	
62452,gymnasieskole - gymnasielærer i samfundsfag,          ,samfundsfag,fast stilling,         ,    ,       ,         	
62453,gymnasieskole - gymnasielærer i samfundsfag,          ,samfundsfag,fast stilling,         ,    ,       ,         	
62454,gymnasielærer i samfundsfag i kombination med andet fag,2018-07-02,samfundsfag,fast stilling,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden	
62455,religion- og samfundsfagslærer,2018-07-02,religion-samfundsfag,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
62457,maribo gymnasium søger en ny lærer,2018-07-03,,fast stilling,Refshalevej 2,4930,Maribo,Region Sjælland	
62460,ledig stilling i danish b på ib ved stenhus gymnasium,2018-07-29,,fast stilling,Stenhusvej 20,4300,Holbæk,Region Sjælland	
62461,pædagogisk afdelingsleder,2018-07-04,,fast stilling,Milnersvej 40,3400,Hillerød,Region Hovedstaden	
62462,greve gymnasium søger deltidsvikar i samfundsfag til august 2018,2018-07-04,samfundsfag,vikariat,Rådhusholmen 12,2670,Greve,Region Sjælland	
62463,gux-aasiaat søger kemilærer,2018-07-04,kemi,fast stilling,Postboks 225,3950,Aasiaat,	
