61104,lyngby søger fvu- og ordblindelærere,2016-09-02,,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,religion-tysk,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden	
61109,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i billedkunst,2016-09-08,billedkunst,vikariat,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland	
61112,vikar i 3g spansk,2016-09-09,spansk,vikariat,Østergade 52,3200,Helsinge,Region Hovedstaden	
61117,barselsvikariat rosborg gymnasium & hf,2016-09-14,,vikariat,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
61120,kvuc timerest i engelsk og samfundsfag,2016-09-16,engelsk-samfundsfag,fast stilling,Vognmagergade 8,1120,København K,Region Hovedstaden	
61121,gentofte hf søger matematiklærere til gsk,2016-09-15,matematik,fast stilling,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden	
61123,1-2 vikariater med tysk engelsk og samfundsfag på esbjerg gymnasium,2016-09-20,engelsk-samfundsfag-tysk,vikariat,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark	
61127,barselsvikariat i religion,2016-09-22,religion,vikariat,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden	
61130,hf-uddannelsesleder til campus vejle hf & vuc,2016-09-26,,fast stilling,Boulevarden 48,7100,Vejle,Region Syddanmark	
61131,to uddannelsesledere til handelsgymnasiet på campus vejle,2016-09-26,,fast stilling,Boulevarden 48,7100,Vejle,Region Syddanmark	
61134,stilling i matematik,2016-09-30,matematik,fast stilling,Forst Allé 14,6200,Aabenraa,Region Syddanmark	
61136,vikariat i fransk og historie,2016-09-29,fransk-historie,vikariat,Jyllandsgade 52,9600,Aars,Region Nordjylland	
61141,vikar i engelsk og religion,2016-10-04,engelsk-religion,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
61142,vikariat i psykologi,2016-10-06,psykologi,vikariat,G&#246	teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61143,vuc syd søger uddannelsesleder,2016-10-04,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark	
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,engelsk-religion,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
61145,uddannelsesleder til frederiksborg gymnasium og hf,2016-10-07,,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
61147,vikariat på duborg-skolen,2016-10-05,,vikariat,Ritterstrasse 27,D-24,Flensburg,	
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,mediefag-musik,vikariat,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark	
61150,barselsvikar i psykologi,2016-10-06,psykologi,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden	
61152,ervisning og kvalitet - to nye medarbejdere til reformimplementering og kvalitetstilsyn med gymnasieområdet,2016-10-12,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61153,underviser i fagene fysik og kemi,2016-10-07,fysik-kemi,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland	
61155,2-3 barselsvikariater i tysk engelsk og psykologi,2016-10-11,engelsk-psykologi-tysk,vikariat,Nørrebrogade 88,7000,Fredericia,Region Syddanmark	
61156,sygevikariat i samfundsfag ved frederiksberg hf-kursus,2016-10-11,samfundsfag,vikariat,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden	
61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,historie-idræt,vikariat,Munkevej 9,7700,Thisted,Region Nordjylland	
61162,barselsvikar i historie og oldtidskunskab,2016-10-14,historie,vikariat,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden	
61163,lyngby gymnasium søger erfaren lærer i dansk gerne kombineret med et andet gymnasierelevant fag,2016-10-13,dansk,fast stilling,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden	
61164,afdelingsleder,2016-10-13,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
61168,hf & vuc københavn syd søger nye lærere,2016-10-14,,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden	
61169,vikar til dansk og innovation,2016-10-14,dansk-innovation,vikariat,Skaldehøjvej 12,8800,Viborg,Region Midtjylland	
61171,akademisk studenterkursus søger ny rektor,2016-10-17,,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden	
61172,ledige idrætstimer ved frederiksberg hf-kursus,2016-10-17,idræt,fast stilling,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden	
61176,struer statsgymnasium søger engelsklærer,2016-10-24,engelsk,fast stilling,Jyllandsgade 2,7600,Struer,Region Midtjylland	
61177,fagkonsulenter til de gymnasiale uddannelser,2016-10-24,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61178,rektor,2016-10-24,,fast stilling,Willemoesvej 2A,4200,Slagelse,Region Sjælland	
61179,ar i dansk og mediefag,2016-10-24,dansk-mediefag,fast stilling,Vestergade 8,6520,Toftlund,Region Syddanmark	
61180,barselsvikariater i idræt engelsk og oldtidskundskab,2016-10-25,engelsk-idræt-oldtidskundskab,vikariat,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland	
61183,ledige timer i psykologi ved rosborg gymnasium & hf,2016-10-26,psykologi,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
61184,vikariat i idræt på christianshavns gymnasium,2016-10-26,idræt,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden	
61187,tysk barselsvikar søges til hf,2016-10-28,tysk,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland	
61188,- undervisere til hf/gs afdelingen januar 2017,2016-10-28,,fast stilling,Dalgas Avenue 2,8000,Aarhus C,Region Midtjylland	
61189,barselsvikariat i kemi,2016-10-28,kemi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden	
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,dansk-historie,vikariat,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden	
61195,fastansættelse i biologi,2016-11-02,biologi,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
61196,pædagogisk leder ved n. zahles gymnasieskole,2016-11-02,,fast stilling,Nørre Voldgade 5,1358,København K,Region Hovedstaden	
61198,vuc lyngby søger hf lærere til dansk engelsk og religion,2016-11-03,dansk-engelsk-religion,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden	
61199,ministeriet for børn undervisning og ligestilling søger lærer til europaskolen i bruxelles i,2016-11-14,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61200,vikariater,2016-11-04,,vikariat,Christiansfeldvej 31,6100,Haderslev,Region Syddanmark	
61202,vikar i psykologi,2016-11-04,psykologi,vikariat,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland	
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,fysik-matematik,vikariat,Mastrupvej 77,9530,Støvring,Region Nordjylland	
