61084,et barselsvikariat i engelsk og et mindre vikariat i psykologi er ledigt til besættelse på birkerød gymnasium hf ib & kostskole,2016-08-24,psykologi,vikariat,Søndervangen 56,3460,Birkerød,Region Hovedstaden;
61086,vikar i historie til bjerringbro gymnasium,2016-08-24,historie,vikariat,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,kemi,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,matematik,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61094,vikariat i dansk på kvuc,2016-08-29,dansk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61097,barselsvikariat i samfundsfag,2016-08-30,samfundsfag,vikariat,Østre Hougvej 97,5500,Middelfart,Region Syddanmark;
61098,knord søger barselsvikarer til engelsk og dansk på handelsgymnasiet,2016-08-31,dansk,vikariat,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61098,knord søger barselsvikarer til engelsk og dansk på handelsgymnasiet,2016-08-31,engelsk,vikariat,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61100,vikar i matematik,2016-09-01,matematik,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,fysik,fast stilling,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,matematik,fast stilling,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,religion,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,tysk,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61109,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i billedkunst,2016-09-08,billedkunst,vikariat,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland;
61112,vikar i 3g spansk,2016-09-09,spansk,vikariat,Østergade 52,3200,Helsinge,Region Hovedstaden;
61120,kvuc timerest i engelsk og samfundsfag,2016-09-16,engelsk,fast stilling,Vognmagergade 8,1120,København K,Region Hovedstaden;
61120,kvuc timerest i engelsk og samfundsfag,2016-09-16,samfundsfag,fast stilling,Vognmagergade 8,1120,København K,Region Hovedstaden;
61121,gentofte hf søger matematiklærere til gsk,2016-09-15,matematik,fast stilling,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61123,1-2 vikariater med tysk engelsk og samfundsfag på esbjerg gymnasium,2016-09-20,engelsk,vikariat,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
61123,1-2 vikariater med tysk engelsk og samfundsfag på esbjerg gymnasium,2016-09-20,samfundsfag,vikariat,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
61123,1-2 vikariater med tysk engelsk og samfundsfag på esbjerg gymnasium,2016-09-20,tysk,vikariat,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
61127,barselsvikariat i religion,2016-09-22,religion,vikariat,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden;
61134,stilling i matematik,2016-09-30,matematik,fast stilling,Forst Allé 14,6200,Aabenraa,Region Syddanmark;
61136,vikariat i fransk og historie,2016-09-29,fransk,vikariat,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61136,vikariat i fransk og historie,2016-09-29,historie,vikariat,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61141,vikar i engelsk og religion,2016-10-04,engelsk,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61141,vikar i engelsk og religion,2016-10-04,religion,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61142,vikariat i psykologi,2016-10-06,psykologi,vikariat,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,engelsk,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,religion,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,mediefag,vikariat,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark;
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,musik,vikariat,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark;
61150,barselsvikar i psykologi,2016-10-06,psykologi,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61153,underviser i fagene fysik og kemi,2016-10-07,fysik,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland;
61153,underviser i fagene fysik og kemi,2016-10-07,kemi,fast stilling,Holbækvej 59,4000,Roskilde,Region Sjælland;
61155,2-3 barselsvikariater i tysk engelsk og psykologi,2016-10-11,engelsk,vikariat,Nørrebrogade 88,7000,Fredericia,Region Syddanmark;
61155,2-3 barselsvikariater i tysk engelsk og psykologi,2016-10-11,psykologi,vikariat,Nørrebrogade 88,7000,Fredericia,Region Syddanmark;
61155,2-3 barselsvikariater i tysk engelsk og psykologi,2016-10-11,tysk,vikariat,Nørrebrogade 88,7000,Fredericia,Region Syddanmark;
61156,sygevikariat i samfundsfag ved frederiksberg hf-kursus,2016-10-11,samfundsfag,vikariat,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,historie,vikariat,Munkevej 9,7700,Thisted,Region Nordjylland;
61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,idræt,vikariat,Munkevej 9,7700,Thisted,Region Nordjylland;
61162,barselsvikar i historie og oldtidskunskab,2016-10-14,historie,vikariat,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden;
61163,lyngby gymnasium søger erfaren lærer i dansk gerne kombineret med et andet gymnasierelevant fag,2016-10-13,dansk,fast stilling,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61169,vikar til dansk og innovation,2016-10-14,dansk,vikariat,Skaldehøjvej 12,8800,Viborg,Region Midtjylland;
61169,vikar til dansk og innovation,2016-10-14,innovation,vikariat,Skaldehøjvej 12,8800,Viborg,Region Midtjylland;
61172,ledige idrætstimer ved frederiksberg hf-kursus,2016-10-17,idræt,fast stilling,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61176,struer statsgymnasium søger engelsklærer,2016-10-24,engelsk,fast stilling,Jyllandsgade 2,7600,Struer,Region Midtjylland;
61179,ar i dansk og mediefag,2016-10-24,dansk,fast stilling,Vestergade 8,6520,Toftlund,Region Syddanmark;
61179,ar i dansk og mediefag,2016-10-24,mediefag,fast stilling,Vestergade 8,6520,Toftlund,Region Syddanmark;
61180,barselsvikariater i idræt engelsk og oldtidskundskab,2016-10-25,engelsk,vikariat,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61180,barselsvikariater i idræt engelsk og oldtidskundskab,2016-10-25,idræt,vikariat,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61180,barselsvikariater i idræt engelsk og oldtidskundskab,2016-10-25,oldtidskundskab,vikariat,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61183,ledige timer i psykologi ved rosborg gymnasium & hf,2016-10-26,psykologi,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61184,vikariat i idræt på christianshavns gymnasium,2016-10-26,idræt,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden;
61187,tysk barselsvikar søges til hf,2016-10-28,tysk,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland;
61189,barselsvikariat i kemi,2016-10-28,kemi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,dansk,vikariat,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,historie,vikariat,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61195,fastansættelse i biologi,2016-11-02,biologi,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61198,vuc lyngby søger hf lærere til dansk engelsk og religion,2016-11-03,dansk,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden;
61198,vuc lyngby søger hf lærere til dansk engelsk og religion,2016-11-03,engelsk,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden;
61198,vuc lyngby søger hf lærere til dansk engelsk og religion,2016-11-03,religion,fast stilling,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden;
61202,vikar i psykologi,2016-11-04,psykologi,vikariat,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,fysik,vikariat,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,matematik,vikariat,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61205,vikariater i matematik,2016-11-08,matematik,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden;
61214,fagkonsulent til teknologi på de gymnasiale uddannelser,2016-11-11,teknologi,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden;
61215,roskilde gymnasium søger vikar i fransk,2016-11-11,fransk,vikariat,Domkirkepladsen,4000,Roskilde,Region Sjælland;
61223,undervisere til hf i dansk engelsk samfundsfag og erhvervsøkonomi,2016-11-16,dansk,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61223,undervisere til hf i dansk engelsk samfundsfag og erhvervsøkonomi,2016-11-16,engelsk,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61223,undervisere til hf i dansk engelsk samfundsfag og erhvervsøkonomi,2016-11-16,erhvervsøkonomi,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61223,undervisere til hf i dansk engelsk samfundsfag og erhvervsøkonomi,2016-11-16,samfundsfag,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61225,hf matematiklærer til nykøbing f.,2016-11-17,matematik,fast stilling,Bispegade 1,4800,Nykøbing F,Region Sjælland;
61226,vikar religion (b-niveau),          ,religion,vikariat,         ,    ,       ,         ;
61231,engelskunderviser søges til hf. (barselsvikariat),2016-11-21,engelsk,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland;
61233,barselsvikar i fysik til frederiksborg gymnasium og hf,2016-11-21,fysik,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61234,underviser til biologi og matematik på hf,          ,biologi,fast stilling,         ,    ,       ,         ;
61234,underviser til biologi og matematik på hf,          ,matematik,fast stilling,         ,    ,       ,         ;
61235,barselsvikariat naturgeografi,2016-11-21,geografi,vikariat,Østergade 52,3200,Helsinge,Region Hovedstaden;
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,historie,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,idræt,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,engelsk,vikariat,Skolevangen 25,9800,Hjørring,Region Nordjylland;
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,idræt,vikariat,Skolevangen 25,9800,Hjørring,Region Nordjylland;
61241,vikariat i fagene engelsk og psykologi,2016-11-23,engelsk,vikariat,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61241,vikariat i fagene engelsk og psykologi,2016-11-23,psykologi,vikariat,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61243,vikar i matematik og kemi,2016-12-06,kemi,vikariat,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61243,vikar i matematik og kemi,2016-12-06,matematik,vikariat,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61244,ymnasium - vikariat i religion,2016-11-28,religion,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden;
61246,vikariater i kemi matematik og fysik på kvuc,2016-11-28,fysik,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61246,vikariater i kemi matematik og fysik på kvuc,2016-11-28,kemi,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61246,vikariater i kemi matematik og fysik på kvuc,2016-11-28,matematik,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61247,3 måneders sygevikariat i psykologi,2016-11-28,psykologi,vikariat,Højvangens Torv 6,8660,Skanderborg,Region Midtjylland;
61248,3 hold i kemi c på rosborg gymnasium & hf,2016-11-29,kemi,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61250,vikariat i engelsk på hf,          ,engelsk,vikariat,         ,    ,       ,         ;
61252,vikarer i idræt,2016-12-08,idræt,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61254,vikar i biologi,2016-12-01,biologi,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61255,timerester i matematik og fysik,2016-12-02,fysik,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61255,timerester i matematik og fysik,2016-12-02,matematik,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61256,vikariat i engelsk,2016-12-04,engelsk,vikariat,Bøgildvej 6,7430,Ikast,Region Midtjylland;
