61130,hf-uddannelsesleder til campus vejle hf & vuc,2016-09-26,,,Boulevarden 48,7100,Vejle,Region Syddanmark;
61131,to uddannelsesledere til handelsgymnasiet på campus vejle,2016-09-26,,,Boulevarden 48,7100,Vejle,Region Syddanmark;
61134,stilling i matematik,2016-09-30,matematik,,Forst Allé 14,6200,Aabenraa,Region Syddanmark;
61136,vikariat i fransk og historie,2016-09-29,fransk-historie,,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61141,vikar i engelsk og religion,2016-10-04,engelsk-religion,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61142,vikariat i psykologi,2016-10-06,psykologi,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61143,vuc syd søger uddannelsesleder,2016-10-04,,,Lavgade 30,6200,Aabenraa,Region Syddanmark;
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,engelsk-religion,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61145,uddannelsesleder til frederiksborg gymnasium og hf,2016-10-07,,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61147,vikariat på duborg-skolen,2016-10-05,,,Ritterstrasse 27,D-24,Flensburg,;
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,mediefag-musik,,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark;
61150,barselsvikar i psykologi,2016-10-06,psykologi,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61152,ervisning og kvalitet - to nye medarbejdere til reformimplementering og kvalitetstilsyn med gymnasieområdet,2016-10-12,,,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden;
61153,underviser i fagene fysik og kemi,2016-10-07,fysik-kemi,,Holbækvej 59,4000,Roskilde,Region Sjælland;
61156,sygevikariat i samfundsfag ved frederiksberg hf-kursus,2016-10-11,samfundsfag,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
