61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,matematik,,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,religion,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,tysk,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61109,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i billedkunst,2016-09-08,billedkunst,,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland;
61112,vikar i 3g spansk,2016-09-09,spansk,,Østergade 52,3200,Helsinge,Region Hovedstaden;
61120,kvuc timerest i engelsk og samfundsfag,2016-09-16,engelsk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61120,kvuc timerest i engelsk og samfundsfag,2016-09-16,samfundsfag,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61121,gentofte hf søger matematiklærere til gsk,2016-09-15,matematik,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61123,1-2 vikariater med tysk, engelsk og samfundsfag på esbjerg gymnasium,2016,engelsk-samfundsfag-tysk,,Spangsbjerg Møllevej 310,6700,Esbjerg
61123,1-2 vikariater med tysk, engelsk og samfundsfag på esbjerg gymnasium,09,engelsk-samfundsfag-tysk,,Spangsbjerg Møllevej 310,6700,Esbjerg
61123,1-2 vikariater med tysk, engelsk og samfundsfag på esbjerg gymnasium,20,engelsk-samfundsfag-tysk,,Spangsbjerg Møllevej 310,6700,Esbjerg
61127,barselsvikariat i religion,2016-09-22,religion,,Frøgaard Allé 2,2630,Taastrup,Region Hovedstaden;
61134,stilling i matematik,2016-09-30,matematik,,Forst Allé 14,6200,Aabenraa,Region Syddanmark;
61136,vikariat i fransk og historie,2016-09-29,fransk,,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61136,vikariat i fransk og historie,2016-09-29,historie,,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61141,vikar i engelsk og religion,2016-10-04,engelsk,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61141,vikar i engelsk og religion,2016-10-04,religion,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61142,vikariat i psykologi,2016-10-06,psykologi,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,engelsk,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61144,årsvikar i engelsk og religion til frederiksborg gymnasium og hf,2016-10-07,religion,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,mediefag,,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark;
61149,alssundgymnasiet sønderborg søger barselsvikar i musik og mediefag,2016-10-05,musik,,Grundtvigs Alle 86,6400,Sønderborg,Region Syddanmark;
61150,barselsvikar i psykologi,2016-10-06,psykologi,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61153,underviser i fagene fysik og kemi,2016-10-07,fysik,,Holbækvej 59,4000,Roskilde,Region Sjælland;
61153,underviser i fagene fysik og kemi,2016-10-07,kemi,,Holbækvej 59,4000,Roskilde,Region Sjælland;
